UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
DocJ’s Tesla S3XYM3,@OppayahTwitR,2022-04-13T18:33:16.000Z,"DocJ’s Tesla S3XYM3
@OppayahTwitR
·
Apr 13, 2022","Replying to 
@Gfilche
 @elonmusk
 and 
@Twitter
Oh no… it’s personal now… all $TWTR Board members that opposed Elon will be kicked out! Once Elon is determined, he’s going to make sure he gets what he wants and have the last laugh.
GIF
ALT
2",,,,2,[],https://twitter.com/OppayahTwitR/status/1514310768703021068
#FREEDOM-AMERICAN_1776©,@FREED0M_1776,2022-04-13T21:55:06.000Z,"#FREEDOM-AMERICAN_1776©
@FREED0M_1776
·
Apr 13, 2022","Would you like 
@elonmusk
 to buy 
@Twitter
 ?
Yes
0%
No
0%
Yes & reinstate Trump
100%
Yes & keep Trump off
0%
1 vote
·
Final results
3
1
1",™,3,1,1,[],https://twitter.com/FREED0M_1776/status/1514361561955147787
Alexis Keenan,@alexiskweed,2022-04-13T19:45:01.000Z,"Alexis Keenan
@alexiskweed
·
Apr 13, 2022","Plaintiff's attorney Jacob Walker claims 
@Tesla
 CEO Elon Musk illegally saved about $150 million, at the expense of former Twitter shareholders, by keeping his major 
@Twitter
 stock purchases out of public sight #securities
Quote Tweet
Yahoo Finance
@YahooFinance
·
Apr 13, 2022
Elon Musk 'profited $150 million against the backs of common shareholders,' lawyer says https://yhoo.it/3uE3m1d by @alexiskweed
1",,,,1,"['https://pbs.twimg.com/profile_images/1176105064219516928/qwU6ALZR_normal.png', 'https://pbs.twimg.com/media/FQP3bopXEAYxzW3?format=jpg&name=small']",https://twitter.com/alexiskweed/status/1514328823663312899
Mr. Baggin Bones,@BankOfTheDead,2022-04-13T23:44:41.000Z,,,🤣,,,,[],https://twitter.com/BankOfTheDead/status/1514389140493766657
,,2022-04-13T23:44:41.000Z,,,,,,,[],https://twitter.com/saltercas88/status/1514389138115551233
,,2022-04-13T20:01:15.000Z,,,,,,,[],https://twitter.com/BeeMakwara/status/1514332909334933507
,,2022-04-13T21:24:34.000Z,,,,,,,[],https://twitter.com/BigHogezand/status/1514353876513734665
,,2022-04-13T19:18:23.000Z,,,,,,,[],https://twitter.com/EqualibriumUS/status/1514322120821465088
,,2022-04-13T20:50:39.000Z,,,🍥,,,,[],https://twitter.com/Dent2ndHisName/status/1514345343277666304
,,2022-04-13T22:34:58.000Z,,,,,,,[],https://twitter.com/RALPHWIGUM7/status/1514371595178897408
,,2022-04-13T17:53:04.000Z,,,,,,,[],https://twitter.com/rpbii281/status/1514300654184849410
,,2022-04-13T22:17:00.000Z,,,🐥,,,,[],https://twitter.com/DuhTris/status/1514367074847510528
,,2022-04-13T21:25:02.000Z,,,,,,,[],https://twitter.com/Jonna_Stopnik/status/1514353997137661955
,,2022-04-13T19:49:55.000Z,,,👏 👏 👏,,,,[],https://twitter.com/JasonHitchcock/status/1514330057807966218
,,2022-04-13T19:06:34.000Z,,"Replying to 
@FermisSocks
 @elonmusk
 and 
@Twitter
I originally joined to follow 
@SpaceX
 and 
@elonmusk
. Then I began following 
@Tesla
 and the Tesla/TSLA Twitter community. I would def follow Elon just to stay current, but would also stay on Twitter.
3",,,,3,[],https://twitter.com/d4t4wr4ngl3r/status/1514319147785666563
PC Principal (parody),@PC_Principal_CO,2022-04-13T20:28:21.000Z,"PC Principal (parody)
@PC_Principal_CO
·
Apr 13, 2022","Replying to 
@nypost
So.. have 
@Twitter
 employees officially abandoned the ""we're just a bulletin board, we don't control content, we're not censoring free speech"" BS? BC.. if the threat is ""Musk is gonna swoop in and stop censorship"" the answer SHOULD BE ""no problem, there's none to stop""!
1",,,,1,[],https://twitter.com/PC_Principal_CO/status/1514339731152195584
,,2022-04-13T18:27:21.000Z,,,,,,,[],https://twitter.com/HelpingHoldings/status/1514309278437294080
,,2022-04-13T23:38:40.000Z,,,,,,,[],https://twitter.com/Alex22192809/status/1514387623757889537
,,2022-04-13T23:55:11.000Z,,,,,,,[],https://twitter.com/skitt52080681/status/1514391780841512968
,,2022-04-13T21:30:36.000Z,,,,,,,[],https://twitter.com/steeliceberg/status/1514355396336447493
,,2022-04-13T22:33:26.000Z,,,,,,,[],https://twitter.com/HawkCraz/status/1514371209974194178
,,2022-04-13T21:39:28.000Z,,,,,,,[],https://twitter.com/AilanDuong/status/1514357626473177092
,,2022-04-13T21:42:02.000Z,,,🤣,,,,[],https://twitter.com/Eleanor16/status/1514358274308640769
,,2022-04-13T22:55:21.000Z,,,,,,,[],https://twitter.com/AVH03056144/status/1514376723822886914
,,2022-04-13T19:40:33.000Z,,,,,,,[],https://twitter.com/byematrix/status/1514327701091348480
Brian Dobek,@brian_dobek,2022-04-13T22:03:05.000Z,"Brian Dobek
@brian_dobek
·
Apr 13, 2022","Replying to 
@TomFitton
 @elonmusk
 and 
@Twitter
Elon is buying Twitter to gut and fix the algorithms and connect every one to Truth Social America first.  Then Canada.  Exciting times
1",,1,,,[],https://twitter.com/brian_dobek/status/1514363572050006016
Donald Albertson,@DGA12,2022-04-13T19:41:18.000Z,"Donald Albertson
@DGA12
·
Apr 13, 2022","Replying to 
@duty2warn
 @Twitter
 and 
@elonmusk
A clever way to buy pseudocredibility?",,,,,[],https://twitter.com/DGA12/status/1514327891668054023
Julz,@NiSaBulaVinaka,2022-04-13T20:30:24.000Z,"Julz
@NiSaBulaVinaka
·
Apr 13, 2022","Replying to 
@DovForman
 @AuschwitzMuseum
 and 9 others
How fantastic! Good luck with it. I shall buy & read it.
1
2",🐝,1,,2,[],https://twitter.com/NiSaBulaVinaka/status/1514340244543442952
Woke VC+ (male genitalia),@PPP_VC,2022-04-13T20:01:57.000Z,"Woke VC+ (male genitalia)
@PPP_VC
·
Apr 13, 2022","Replying to 
@CGasparino
 @EleanorTerrett
 and 4 others
Elon should gray ball the SEC from viewing his tweets",,,,,[],https://twitter.com/PPP_VC/status/1514333084740734987
Kanto,@KantoCerulean,2022-04-13T22:35:02.000Z,"Kanto
@KantoCerulean
·
Apr 13, 2022","@Twitter
 needs to do something about these “fake” verified accounts that @ you all day trying to get you to buy 
@AzukiOfficial
 and other blue chips as if there’s a live mint. Reporting them does nothing. Guess I have to turn off my @ notifications ",😔,,,,[],https://twitter.com/KantoCerulean/status/1514371613457747970
Don D,@DonD1952,2022-04-13T23:43:19.000Z,"Don D
@DonD1952
·
Apr 13, 2022",,,,,,[],https://twitter.com/DonD1952/status/1514388794018918402
,,2022-04-13T21:01:05.000Z,,,😶,,,,[],https://twitter.com/MikeyMooseNC/status/1514347968962437128
,,2022-04-13T21:17:37.000Z,,,💱 💱,,,,[],https://twitter.com/your_item_sold/status/1514352127971373057
,,2022-04-13T21:49:11.000Z,,,,,,,[],https://twitter.com/xtreemmasheen3k/status/1514360074596073472
,,2022-04-13T22:03:05.000Z,,,,,,,[],https://twitter.com/brian_dobek/status/1514363572050006016
,,2022-04-13T19:41:18.000Z,,,,,,,[],https://twitter.com/DGA12/status/1514327891668054023
,,2022-04-13T20:30:24.000Z,,,🐝,,,,[],https://twitter.com/NiSaBulaVinaka/status/1514340244543442952
,,2022-04-13T20:01:57.000Z,,,,,,,[],https://twitter.com/PPP_VC/status/1514333084740734987
,,2022-04-13T22:35:02.000Z,,,😔,,,,[],https://twitter.com/KantoCerulean/status/1514371613457747970
,,2022-04-13T23:43:19.000Z,,,,,,,[],https://twitter.com/DonD1952/status/1514388794018918402
Your item sold!,@your_item_sold,2022-04-13T21:17:37.000Z,"Your item sold!
@your_item_sold
·
Apr 13, 2022","Replying to 
@MarlowChurnz
 @Koolerfly
 and 2 others
Elon is on Mars can't answer
1",💱 💱,,,1,[],https://twitter.com/your_item_sold/status/1514352127971373057
Dr. Decepticon Boba Fett,@xtreemmasheen3k,2022-04-13T21:49:11.000Z,"Dr. Decepticon Boba Fett
@xtreemmasheen3k
·
Apr 13, 2022","Replying to 
@FrielGranville
 @CoolBreezePt2
 and 3 others
I'm a fan of Elon. And I'm asking you step back and see the bigger picture for a second.

If the shoe were on the other foot, would you be cheering for a Far-Left billionaire who violated the law and would use their money to ""destroy"" those he/she potentially harmed in court?
1",,1,,,[],https://twitter.com/xtreemmasheen3k/status/1514360074596073472
Jim Hanson,@JimHansonDC,2022-04-14T23:51:01.000Z,"Jim Hanson
@JimHansonDC
·
Apr 14, 2022","Replying to 
@JimHansonDC
 @elonmusk
 and 3 others
The most important thing Elon did
Is get the Left
In all its authoritarian glory 
To admit they oppose #FreeSpeech

I'll take FreeSpeech v. #ThoughtPolice 
Any day
17
293
1,219",,17,293,"1,219",['https://pbs.twimg.com/media/FQV7zhOXsAAa2ka?format=jpg&name=small'],https://twitter.com/JimHansonDC/status/1514753119686701056
Commonsensical Guy,@Kester_Guy,2022-04-14T23:51:48.000Z,"Commonsensical Guy
@Kester_Guy
·
Apr 14, 2022","Trump is the billionaire who understood the plight of normal Americans and ran to be POTUS to MAGA. 
@elonmusk
 is the billionaire who saw free speech being shredded by 
@Twitter
 and will buy that company to save our democracy. Well done patriots
1
1
2",,1,1,2,[],https://twitter.com/Kester_Guy/status/1514753319981494276
RZ,@rzamb,2022-04-14T23:51:55.000Z,"RZ
@rzamb
·
Apr 14, 2022","Replying to 
@EBischoff
 @Twitter
 and 
@elonmusk
Not sure if they do, but if they reject Elon needs to walk into Twitter HQ’s and pull a Bischoff
4",,,,4,['https://pbs.twimg.com/media/FQV8I9qWQAQScet?format=jpg&name=medium'],https://twitter.com/rzamb/status/1514753346309173256
Omar Al Busaidy عمر البوسعيدي,@omaralbusaidy,2022-04-14T23:43:27.000Z,"Omar Al Busaidy عمر البوسعيدي
@omaralbusaidy
·
Apr 14, 2022","How wud 
@ElonMusk
 change 
@Twitter
 if he succeeds in buying it? he’d make its algorithm open source. Musk joined Head of 
@TED
, Chris Anderson, #TED2022 conference in Vancouver for an in-depth interview covering free speech, Musk’s experiences living with Asperger’s syndrome..
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1514751169960239106/pu/img/q9XFLg6yhwsOXjDk.jpg'],https://twitter.com/omaralbusaidy/status/1514751219016871939
Tex,@KAMTex30,2022-04-14T23:49:16.000Z,"Tex
@KAMTex30
·
Apr 14, 2022","Replying to 
@trish_regan
 and 
@Twitter
Sadly with Vanguard, Blackrock, State street and Morgan Stanley all top 5 shareholders their wokeness would never vote out the board. Don’t be surprised if they use their influence to stop Musk.
1
9",,1,,9,[],https://twitter.com/KAMTex30/status/1514752679767072772
The White Devil,@lawhitedevil,2022-04-14T23:53:02.000Z,"The White Devil
@lawhitedevil
·
Apr 14, 2022","Just a thought but if the board rejects musk’s offer, it will be their first end. I would except for him to then sell his shares and start something new. Thus tanking Twitter. No one is going to want a bar of it if musk isn’t on it. 
@Twitter",,,,,[],https://twitter.com/lawhitedevil/status/1514753630016278529
Amma Pakoda,@ammapakoda,2022-04-14T23:53:30.000Z,"Amma Pakoda
@ammapakoda
·
Apr 14, 2022","Elon Musk is doing with 
@Twitter
 what Russia is doing with Ukraine. Destroy it if I cannot have it! 

If the $TWTR board rejects Musk’s offer (which most likely they will), Musk may dump his 9.2% shares and tank the stock! And then reduce his offer again calling it “best & final”
1
1",,1,,1,[],https://twitter.com/ammapakoda/status/1514753744105537536
Iggy Tuck,@TuckIggy,2022-04-14T23:49:22.000Z,"Iggy Tuck
@TuckIggy
·
Apr 14, 2022","All these financial firms and corporate giants now scrambling buy to match 
@elonmusk
’s offer are showing Americans who the real power brokers are!  Also, Musk still has 
@twitter
’s Marxist CEO by the balls!  Regardless of their efforts!  #ElonMuskTwitter
1",,1,,,[],https://twitter.com/TuckIggy/status/1514752704308035588
Anvil Crawler,@Anvil_Crawler,2022-04-14T23:43:27.000Z,"Anvil Crawler
@Anvil_Crawler
·
Apr 14, 2022","I'd like to see all of 
@elonmusk
's 
@Twitter
 followers buy 5 shares of twitter at it's current $45 price and give Elon their proxy vote. That would be 414 MILLION shares totaling more than half of Twitter's $34 Billion valuation.",,,,,[],https://twitter.com/Anvil_Crawler/status/1514751215711662081
Zach Kaplan,@zkaplan,2022-04-14T23:59:53.000Z,"Zach Kaplan
@zkaplan
·
Apr 14, 2022","Today 
@elonmusk
 offered to buy 
@Twitter
. If you had an extra $50B lying around what company would you offer to buy?
1
1",🧢,1,,1,[],https://twitter.com/zkaplan/status/1514755353740722183
orderdoge,@orderdoge,2022-04-14T23:43:46.000Z,"orderdoge
@orderdoge
·
Apr 14, 2022","RT 
@MattWallace888
: 
@elonmusk
 @PoliticalShort
 @Twitter
 Just offer to buy Twitter with Dogecoin 

No way anyone can refuse that! ",😅 😃,,,,[],https://twitter.com/orderdoge/status/1514751298712788996
NewbieActual,@ActualNewbie,2022-04-14T23:52:53.000Z,"NewbieActual
@ActualNewbie
·
Apr 14, 2022","Replying to 
@GoldenLacLLC
 @jaygatzbee1
 and 4 others
Not a pump and dump if you don’t tell people to buy it and then sell off. If he dumps his shit causing a cascade without announcing it, he isn’t in the wrong lmao
6",,,,6,[],https://twitter.com/ActualNewbie/status/1514753592829259779
Lance,@landoftheskyavl,2022-04-14T23:51:30.000Z,"Lance
@landoftheskyavl
·
Apr 14, 2022","Replying to 
@EBischoff
 @Twitter
 and 
@elonmusk
100% there will be lawsuits. The stock will tank to $20 or go lower and Twitter will die. Musk will create his own twitter.
2
1
24",,2,1,24,[],https://twitter.com/landoftheskyavl/status/1514753244689489927
Brandon Nickles,@nicklesbr,2022-04-14T23:44:30.000Z,"Brandon Nickles
@nicklesbr
·
Apr 14, 2022","Replying to 
@OneBotheredBee
You just solidified why 
@elonmusk
 should buy 
@Twitter
 4",,,,4,[],https://twitter.com/nicklesbr/status/1514751481253089284
Shahana Ashur,@AshurShahana,2022-04-14T23:55:30.000Z,"Shahana Ashur
@AshurShahana
·
Apr 14, 2022","Replying to 
@defiisthelife
 @EBischoff
 and 2 others
How can you buy something you already own?
1
11",,1,,11,[],https://twitter.com/AshurShahana/status/1514754249728708609
MBarco436,@mbloh436,2022-04-14T23:52:27.000Z,"MBarco436
@mbloh436
·
Apr 14, 2022","Replying to 
@doogerasgurd
 @FlipMooreComedy
 and 5 others
You would rather have SA hold 14% than Elon have any stake?
2
11",,2,,11,[],https://twitter.com/mbloh436/status/1514753479939604485
Dave,@eaglecaphiker,2022-04-14T23:59:09.000Z,"Dave
@eaglecaphiker
·
Apr 14, 2022","Replying to 
@AlanBellZA
 @SahilBloom
 and 4 others
Well – the SEC just put an end to Elon Musk. He’s now under criminal investigation for using Twitter and bots to manipulate with the stock price. That’s a felony. And you should be concerned because it’s people like you who end up paying the price.
1
1
6",,1,1,6,[],https://twitter.com/eaglecaphiker/status/1514755166976716813
I'm so fly I Neverland,@violetmouse2000,2022-04-14T23:44:37.000Z,"I'm so fly I Neverland
@violetmouse2000
·
Apr 14, 2022","Replying to 
@johnfeal2
 @Twitter
 and 
@RepCawthorn
I'm in, but can I buy 9.5 % of the shares?
3",🏰,,,3,[],https://twitter.com/violetmouse2000/status/1514751511359860741
Ian Heinisch,@ianheinischmma,2022-04-14T23:45:14.000Z,"Ian Heinisch
@ianheinischmma
·
Apr 14, 2022","Replying to 
@ShannonBrayNC
 @Twitter
 and 
@elonmusk
Good idea, I still got a bag but maybe buy more? 
1
2",,1,,2,[],https://twitter.com/ianheinischmma/status/1514751665789841415
Dibbity,@don_corsi,2022-04-14T23:57:49.000Z,"Dibbity
@don_corsi
·
Apr 14, 2022","Replying to 
@2manytoms
 @KevinKindelber2
 and 4 others
They never want to address this. Always more tax, more tax! It’s a lot of money, all so the government can buy a few more aircraft. Build a few more bombs. Maybe fix a highway if the politicians are in an election year.
11",,,,11,[],https://twitter.com/don_corsi/status/1514754834259357699
Peace,@truthseeker3731,2022-04-14T23:41:32.000Z,"Peace
@truthseeker3731
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Money can buy freedom of speech 

Money can buy speech for freedom

concept is you can pollute one side of the world and plant a tree another side of the world. Just like carbon offsets..

It's called FOS offsets. 
Freedom of speech offsets.",,,,,[],https://twitter.com/truthseeker3731/status/1514750735166189574
Bastian Mueller,@bast_i,2022-04-14T23:53:46.000Z,"Bastian Mueller
@bast_i
·
Apr 14, 2022","Replying to 
@EBischoff
 @Twitter
 and 
@elonmusk
I’m pretty sure they have to put it to a shareholder vote or be sued, which raises the question if Elon has to abstain his vote due to conflict of interest. Btw, I really appreciated that he gave clarity on his plans in the Ted talk
Quote Tweet
Bastian Mueller
@bast_i
·
Apr 14, 2022
I was curious what @elonmusk position is on free speech and the changes he has in mind for twitter, given he wants to take it private. I’m glad we got answers. https://m.youtube.com/watch?v=iO0bVep4D5o…
Show this thread
7
1
26",,7,1,26,['https://pbs.twimg.com/profile_images/1373455296954253314/yOm4HLyP_normal.jpg'],https://twitter.com/bast_i/status/1514753811461586951
BIG FAT SHIT HEAD,@JEFFGORDONFAN69,2022-04-14T23:54:42.000Z,"BIG FAT SHIT HEAD
@JEFFGORDONFAN69
·
Apr 14, 2022","Replying to 
@KevinKindelber2
 @BigShow237
 and 3 others
But Elon paid what?
1",,,,1,[],https://twitter.com/JEFFGORDONFAN69/status/1514754046644699137
cT,@dp38100539,2022-04-14T23:48:23.000Z,"cT
@dp38100539
·
Apr 14, 2022","Replying to 
@KevinKindelber2
 @abcdxrp
 and 3 others
OK so I know this is hard for you...try to keep up....how is that Elon's fault?
1
3",,1,,3,[],https://twitter.com/dp38100539/status/1514752459876544512
@SeekerofNoble@mstdn.social,@SeekerofNoble@mstdn.social,2022-04-14T23:59:32.000Z,"@SeekerofNoble@mstdn.social
@SeekerofNoble
·
Apr 14, 2022","Replying to 
@LZafdia13
 @PartisanRot
 and 4 others
So Elon is a poor businessman?
4",☮ 🌻 🌻,4,,,[],https://twitter.com/SeekerofNoble/status/1514755263601033220
His Excellency Brian Dr PhD CEO CFO CIO COO,@DrCyborgBrian,2022-04-14T23:56:05.000Z,"His Excellency Brian Dr PhD CEO CFO CIO COO
@DrCyborgBrian
·
Apr 14, 2022","Replying to 
@thegtb
 @justinamash
 and 2 others
Do you think Elon Musk is going to spend $43 billion dollars to buy Twitter because he cares about the $5 billion in revenue they bring in?
2
7",,2,,7,[],https://twitter.com/DrCyborgBrian/status/1514754398311788579
Landon AU2000,@landonp,2022-04-14T23:49:21.000Z,"Landon AU2000
@landonp
·
Apr 14, 2022","Replying to 
@EBischoff
 @Twitter
 and 
@elonmusk
The great thing about this for musk is that if other parties get in a big bidding war he makes a ton of money even if he doesn’t reach objective of buying the company
1
12",🅿 🦚,1,,12,[],https://twitter.com/landonp/status/1514752703259414535
Diane Brown,@2018Tell,2022-04-14T23:47:12.000Z,"Diane Brown
@2018Tell
·
Apr 14, 2022","Replying to 
@vaxxedandproud
 @mcuban
 and 2 others
Musk disgusts me, always has.
1",,,,1,[],https://twitter.com/2018Tell/status/1514752161309249549
William Collins,@Filmaker02,2022-04-14T23:57:07.000Z,"William Collins
@Filmaker02
·
Apr 14, 2022","Replying to 
@MvScarfo
 @CGasparino
 and 6 others
Look in the mirror, ask yourself. Are you better than Elon? WC2022
1",,,,1,[],https://twitter.com/Filmaker02/status/1514754657775767557
Apocalypse Later,@LaloSoCal,2022-04-14T23:42:46.000Z,"Apocalypse Later
@LaloSoCal
·
Apr 14, 2022","Replying to 
@Moonborne999
 @elonmusk
 and 3 others
Lol the musk mob is VERY upset with me
1
1",,1,,1,[],https://twitter.com/LaloSoCal/status/1514751043891982339
Ben F.,@B_For14,2022-04-14T23:58:55.000Z,"Ben F.
@B_For14
·
Apr 14, 2022","Replying to 
@KevinKindelber2
 @BigShow237
 and 3 others
Why the subject change? You clearly referred to Elon, who paid 11B, not Tesla. 

Kind of like saying you hate apples because oranges are citrus.
2",,,,2,[],https://twitter.com/B_For14/status/1514755111024701444
Scientistjoe,@scientist__joe,2022-04-14T23:53:58.000Z,"Scientistjoe
@scientist__joe
·
Apr 14, 2022","Replying to 
@gonzotellezlazo
 @elonmusk
 and 4 others
Yes! Infact a few days ago a Journalist account lost its verified status after writing an article on Elon musk and he twitted about and Elon replied saying,"" you'll get it back ""
7",,,,7,[],https://twitter.com/scientist__joe/status/1514753862510522377
still Bill,@560ft,2022-04-14T23:46:54.000Z,"still Bill
@560ft
·
Apr 14, 2022","Replying to 
@TjAllard
 @elonmusk
 and 
@Twitter
Does Elon realize a direct democracy is like 51% of people can vote to kill the loosing 49%? Even if he is in the 49%.That is the core of what he is saying. Our founders knew better and I do also.",,,,,[],https://twitter.com/560ft/status/1514752084675112963
Eric J,@EricJafMN,2022-04-14T23:52:32.000Z,"Eric J
@EricJafMN
·
Apr 14, 2022","Replying to 
@notsofiacoppola
 and 
@Reuters
If Elon Musk buys 
@Twitter
, he'll probably use borrowed money which will add $15B to $20B to Twitter's debt.

It should be illegal to buy a company with borrowed money.  We should ban leveraged buyouts.

#ElonMusk #Twitter #LBOs #BanLBOs",,,,,[],https://twitter.com/EricJafMN/status/1514753502714675208
DeshanDW,@DeshanDW,2022-04-14T23:55:38.000Z,"DeshanDW
@DeshanDW
·
Apr 14, 2022","Replying to 
@DeepsShetty
 @guessingpanda
 and 6 others
U  first said Elon Musk got rich because his dad. Then said Elon isn’t a Tesla founder. Then said Elon isn’t doing anything. Then said SpaceX is bad. And now tryna save amazon. Let’s be honest u ain’t tryna save trees u just keep bringing up new topics every time I break ur point
1
1",,1,,1,[],https://twitter.com/DeshanDW/status/1514754283815989251
Rosemarie Elliott,@PinkladySC08,2022-04-14T23:55:03.000Z,"Rosemarie Elliott
@PinkladySC08
·
Apr 14, 2022","Replying to 
@djrothkopf
 @Twitter
 and 
@elonmusk
If Elon Musk buys Twitter, I’m out of here.
1",,1,,,[],https://twitter.com/PinkladySC08/status/1514754136897728514
Filipe,@Filipebar234,2022-04-14T23:51:48.000Z,"Filipe
@Filipebar234
·
Apr 14, 2022","Replying to 
@TweAllthaMatter
 @Winky9622
 and 7 others
pretty much and 5% isnt even a controlling interest so if Elon bought another say..... 42% he could just snub them like they have been Biden whenever he asks for more oil
1
4",,1,,4,[],https://twitter.com/Filipebar234/status/1514753319842983940
David Dao,@DavidDa03264294,2022-04-14T23:55:59.000Z,"David Dao
@DavidDa03264294
·
Apr 14, 2022","Replying to 
@elonmusk
 @Alwaleed_Talal
 and 2 others
Elon Musk has the very good question. ",👍,,,,[],https://twitter.com/DavidDa03264294/status/1514754371803787282
Michael D,@MikeDeWyze,2022-04-14T23:53:37.000Z,"Michael D
@MikeDeWyze
·
Apr 14, 2022","Replying to 
@oze41998
 @pocketdog3
 and 4 others
The goal of TWITTER being purchased by ELON is to act as a free speech platform. It’s what people want.

No one is asking for Tesla to be a free speech platform
1
1",,1,,1,[],https://twitter.com/MikeDeWyze/status/1514753774111404034
The Money$$$,@onemoney5555,2022-04-14T23:44:21.000Z,"The Money$$$
@onemoney5555
·
Apr 14, 2022","Replying to 
@derekahunter
 @Twitter
 and 2 others
What is someone offers to buy Tesla and Elon refuses, should Elon resign? Just asking",,,,,[],https://twitter.com/onemoney5555/status/1514751445182074884
